ID,Year of Study,Acquired Skills
18766,5.0,"Dynamic Structures, C++, Web Development"
12037,4.0,"Python, Web Development, Algorithmic"
12462,5.0,"Mathematics, Web Development, Python"
13532,1.0,
10325,5.0,"Web Development, Statistics, Compilation, Algorithmic, Software Engineering"
12425,1.0,"Compilation, Web Development, Software Engineering, Static Structures"
14862,2.0,
12364,1.0,"Python, Compilation, Probability"
13285,1.0,"Security, Robotics, Algorithmic, Dynamic Structures, Web Development"
14223,4.0,"Design, C++, Algorithmic, Python, Static Structures"
10540,2.0,Security
17307,5.0,"C++, Java"
17650,2.0,Security
16511,5.0,
10567,2.0,"Python, Compilation, Security, Design, Web Development"
17259,4.0,"Mathematics, Security, Probability, Web Development"
13438,4.0,"Python, Algorithmic, Java, Mathematics"
12395,4.0,"Algorithmic, C++, Software Engineering"
17774,5.0,"Dynamic Structures, Security, Python, Software Engineering"
17977,1.0,"C++, Dynamic Structures, Robotics"
16584,5.0,Web Development
13375,3.0,"Algorithmic, Web Development, Robotics"
18464,,"Mathematics, Security, Python, Design"
10466,4.0,"C++, Java, Dynamic Structures, Mathematics"
16949,4.0,Probability
10317,5.0,"Robotics, Static Structures, Dynamic Structures"
10831,5.0,"Robotics, Dynamic Structures, Security"
14538,4.0,"C++, Compilation"
10072,,"Web Development, Algorithmic, Dynamic Structures, Design, Static Structures"
15994,1.0,"Design, Robotics"
14430,4.0,"Design, Static Structures, Java, Dynamic Structures, Web Development"
15998,2.0,"Dynamic Structures, Security, Java, C++"
11592,5.0,"Algorithmic, Design, Dynamic Structures"
15179,,Compilation
19282,3.0,Design
13880,1.0,"Algorithmic, Software Engineering, Mathematics, Dynamic Structures, Security"
12173,3.0,"Java, Software Engineering"
11990,3.0,"Robotics, Compilation, Software Engineering, Python, Probability"
13305,4.0,"Python, Robotics, Software Engineering, Design"
12068,2.0,Web Development
14900,1.0,"Algorithmic, Security, Mathematics, Statistics, Robotics"
11964,2.0,"Java, Algorithmic, Robotics, Probability, Compilation"
10994,5.0,"Mathematics, Statistics, Probability"
13225,2.0,"Static Structures, Mathematics"
10916,5.0,"Dynamic Structures, Mathematics, Python"
10908,2.0,Security
10511,5.0,"Compilation, Security, Static Structures, Dynamic Structures"
17145,1.0,"Design, Compilation, Statistics"
15275,3.0,"C++, Design, Robotics, Dynamic Structures"
15602,4.0,"Dynamic Structures, Software Engineering, Compilation, C++, Security"
12617,2.0,"Security, Design, Dynamic Structures, Probability"
18363,3.0,"Static Structures, C++, Python, Java, Probability"
19555,4.0,"Compilation, Statistics, C++, Software Engineering, Robotics"
14374,3.0,Java
12909,4.0,"Static Structures, Compilation, Design, C++, Software Engineering"
19241,4.0,"Robotics, Design, Algorithmic, Statistics"
13189,4.0,
